PetID,PetType,Breed,AgeMonths,Color,Size,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,AdoptionFee,PreviousOwner,AdoptionLikelihood,good_with_children,good_with_other_pets,activity_level,noise_level,grooming_needs,space_required,temperament,estimated_cost
500,Bird,Parakeet,131,Orange,Large,5.039767822529515,1,0,27,140,0,0,Yes,Yes,Low,Low,Medium,Small,Protective,5312
501,Rabbit,Rabbit,73,White,Large,16.086726854616735,0,0,8,235,0,0,No,Yes,Medium,Low,High,Small,Protective,8156
502,Dog,Golden Retriever,136,Orange,Medium,2.0762862789067658,0,0,85,385,0,0,Yes,Yes,Low,Medium,Medium,Large,Calm,13410
503,Bird,Parakeet,97,White,Small,3.339423254344144,0,0,61,217,1,0,Yes,Yes,Low,Medium,Low,Small,Playful,12155
504,Rabbit,Rabbit,123,Gray,Large,20.49809976164308,0,0,28,14,1,0,Yes,Yes,High,Medium,Low,Small,Aggressive,9919
505,Dog,Labrador,70,Brown,Large,20.986260902397984,0,0,87,301,1,0,No,No,Medium,Medium,Medium,Large,Playful,8744
506,Bird,Parakeet,169,Brown,Small,10.90261279164483,1,0,70,440,1,0,Yes,No,Medium,Low,Medium,Large,Friendly,12334
507,Cat,Siamese,13,Orange,Large,7.252683192048298,1,0,3,137,0,1,Yes,No,High,Low,Medium,Medium,Aggressive,5898
508,Bird,Parakeet,49,Brown,Medium,24.59759785196193,1,1,69,405,0,0,Yes,No,Low,High,High,Small,Playful,4072
509,Bird,Parakeet,60,Gray,Large,7.29599365462682,0,0,73,231,1,0,No,Yes,Low,Medium,Low,Medium,Playful,11487
510,Bird,Parakeet,130,Orange,Large,16.71878502032501,0,0,7,88,0,0,Yes,No,Medium,High,High,Medium,Friendly,7624
511,Rabbit,Rabbit,5,White,Small,29.078056385024254,1,0,60,462,0,1,Yes,Yes,Low,Low,High,Large,Protective,2938
512,Dog,Golden Retriever,172,Brown,Large,5.28772069800913,1,0,4,76,1,0,Yes,No,High,Low,Low,Small,Aggressive,10176
513,Cat,Siamese,27,Black,Large,28.28541175734656,1,0,5,135,0,0,Yes,Yes,High,High,Low,Small,Aggressive,2761
514,Cat,Persian,160,Brown,Medium,6.303898538991391,1,0,11,404,0,1,No,Yes,Medium,Medium,Medium,Large,Friendly,9254
515,Rabbit,Rabbit,149,White,Small,17.45585303267366,1,0,15,468,1,0,Yes,No,High,Medium,Medium,Medium,Protective,14941
516,Cat,Persian,8,Orange,Small,11.933223646803594,1,1,64,405,1,0,No,Yes,High,Medium,High,Large,Aggressive,3669
517,Cat,Persian,50,White,Medium,28.98292944355295,1,0,13,109,0,1,No,Yes,Medium,Medium,Medium,Small,Aggressive,9128
518,Rabbit,Rabbit,67,Black,Large,8.932718841056172,1,1,7,352,1,0,No,No,High,High,Medium,Large,Aggressive,5862
519,Dog,Labrador,44,Gray,Small,12.590082060486855,0,1,6,300,0,0,Yes,Yes,High,High,Low,Small,Protective,4685
